,Original,Standardized
163,Major Depression,Major Depression
164,Type 1 Diabetes Mellitus,Type 1 Diabetes Mellitus
165,Acute Myelogenous Leukemia,Acute Myelogenous Leukemia
166,Cardiovascular Disease,Cardiovascular Disease
167,Acute Myeloid Leukemia; Myelodysplastic Syndrome,Acute Myeloid Leukemia; Myelodysplastic Syndrome
168,Chronic Myeloid Leukemia,Chronic Myeloid Leukemia
169,Cerebral Palsy,Cerebral Palsy
170,Benign Prostatic Hyperplasia,Benign Prostatic Hyperplasia
171,Pulmonary Hypertension,Pulmonary Hypertension
172,Metastatic Pancreatic Cancer,Metastatic Pancreatic Cancer
173,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma
174,Impotence,Impotence
175,Peripheral T-cell Lymphoma,Peripheral T-cell Lymphoma
176,Relapsing-Remitting Multiple Sclerosis,Relapsing-Remitting Multiple Sclerosis
177,Acne,Acne
178,Melanoma (Skin),Melanoma (Skin)
179,Glioblastoma,Glioblastoma
180,Schizophrenia; Schizoaffective Disorder,Schizophrenia and Schizoaffective Disorder
181,Recurrent Plasma Cell Myeloma; Refractory Plasma Cell Myeloma,Recurrent Plasma Cell Myeloma; Refractory Plasma Cell Myeloma
182,Hypercholesterolemia,Hypercholesterolemia
183,Acute Coronary Syndrome,Acute Coronary Syndrome
184,"Multiple Sclerosis, Relapsing-Remitting",Relapsing-Remitting Multiple Sclerosis
185,Relapsing Remitting Multiple Sclerosis,Relapsing Remitting Multiple Sclerosis
186,Glaucoma; Ocular Hypertension,Glaucoma and Ocular Hypertension
187,Eosinophilic Esophagitis,Eosinophilic Esophagitis
188,Diabetes Mellitus Type 2,Diabetes Mellitus Type 2
189,Gastroesophageal Reflux Disease,Gastroesophageal Reflux Disease
190,Chronic Kidney Diseases,Chronic Kidney Diseases
191,"Lymphoma, Non-Hodgkin","Lymphoma, Non-Hodgkin"
192,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive; Anatomic Stage IV Breast Cancer AJCC v8; Anemia; Ann Arbor Stage III Hodgkin Lymphoma; Ann Arbor Stage III Non-Hodgkin Lymphoma; Ann Arbor Stage IV Hodgkin Lymphoma; Ann Arbor Stage IV Non-Hodgkin Lymphoma; Atypical Chronic Myeloid Leukemia, BCR-ABL1 Negative; Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive; Castration-Resistant Prostate Carcinoma; Chronic Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive; Hematopoietic and Lymphoid System Neoplasm; Locally Advanced Pancreatic Adenocarcinoma; Metastatic Breast Carcinoma; Metastatic Malignant Solid Neoplasm; Metastatic Pancreatic Adenocarcinoma; Myelodysplastic/Myeloproliferative Neoplasm With Ring Sideroblasts and Thrombocytosis; Myelodysplastic/Myeloproliferative Neoplasm, Unclassifiable; Primary Myelofibrosis; Recurrent Acute Lymphoblastic Leukemia; Recurrent Acute Myeloid Leukemia; Recurrent Chronic Lymphocytic Leukemia; Recurrent Chronic Myelogenous Leukemia, BCR-ABL1 Positive; Recurrent Hematologic Malignancy; Recurrent Hodgkin Lymphoma; Recurrent Myelodysplastic Syndrome; Recurrent Myelodysplastic/Myeloproliferative Neoplasm; Recurrent Myeloproliferative Neoplasm; Recurrent Non-Hodgkin Lymphoma; Recurrent Plasma Cell Myeloma; Recurrent Small Lymphocytic Lymphoma; Refractory Acute Lymphoblastic Leukemia; Refractory Acute Myeloid Leukemia; Refractory Chronic Lymphocytic Leukemia; Refractory Chronic Myelogenous Leukemia, BCR-ABL1 Positive; Refractory Chronic Myelomonocytic Leukemia; Refractory Hematologic Malignancy; Refractory Hodgkin Lymphoma; Refractory Malignant Solid Neoplasm; Refractory Myelodysplastic Syndrome; Refractory Myelodysplastic/Myeloproliferative Neoplasm; Refractory Non-Hodgkin Lymphoma; Refractory Plasma Cell Myeloma; Refractory Primary Myelofibrosis; Refractory Small Lymphocytic Lymphoma; Stage II Pancreatic Cancer AJCC v8; Stage III Pancreatic Cancer AJCC v8; Stage IV Pancreatic Cancer AJCC v8; Stage IV Prostate Cancer AJCC v8; Unresectable Pancreatic Adenocarcinoma",Multiple Advanced Hematologic and Solid Malignancies
193,Pharmacokinetics,Pharmacokinetics
194,Aging,Aging
195,Tuberculosis,Tuberculosis
196,Postoperative Nausea and Vomiting,Postoperative Nausea and Vomiting
197,Chronic Lymphocytic Leukemia; Small Lymphocytic Lymphoma,Chronic Lymphocytic Leukemia; Small Lymphocytic Lymphoma
198,Duchenne Muscular Dystrophy,Duchenne Muscular Dystrophy
199,"Carcinoma, Hepatocellular","Carcinoma, Hepatocellular"
200,Acute Ischemic Stroke,Acute Ischemic Stroke
201,Hepatic Encephalopathy,Hepatic Encephalopathy
202,COVID,COVID
203,Chronic Pain,Chronic Pain
204,Obstructive Sleep Apnea,Obstructive Sleep Apnea
205,Non-Small-Cell Lung Carcinoma,Non-Small-Cell Lung Carcinoma
206,Solid Tumours,Solid Tumours
207,"Hypertension, Pulmonary",Pulmonary Hypertension
208,Open-Angle Glaucoma; Ocular Hypertension,Open-Angle Glaucoma; Ocular Hypertension
209,Metastatic Prostate Cancer,Metastatic Prostate Cancer
210,Sarcopenia,Sarcopenia
211,Essential Hypertension,Essential Hypertension
212,Thyroid Cancer,Thyroid Cancer
213,Hepatitis C,Hepatitis C
214,Basal Cell Carcinoma,Basal Cell Carcinoma
215,Chronic Obstructive Pulmonary Disease (COPD),Chronic Obstructive Pulmonary Disease (COPD)
216,Nausea; Vomiting,Nausea and Vomiting
217,Idiopathic Pulmonary Fibrosis,Idiopathic Pulmonary Fibrosis
218,Ovarian Neoplasms,Ovarian Neoplasms
219,Renal Transplantation,Renal Transplantation
220,Breast Cancer Female,Breast Cancer Female
221,Advanced Colorectal Cancer,Advanced Colorectal Cancer
222,Non-Squamous Non-Small Cell Lung Cancer,Non-Squamous Non-Small Cell Lung Cancer
223,Breast Neoplasm,Breast Neoplasm
224,Depressive Disorder,Unipolar Depression
225,Chemotherapy-induced Nausea and Vomiting,Chemotherapy-induced Nausea and Vomiting
226,Type2 Diabetes,Diabetes Mellitus Type 2
227,Soft Tissue Sarcoma,Soft Tissue Sarcoma
228,"Lymphoma, Large B-Cell, Diffuse","Lymphoma, Large B-Cell, Diffuse"
229,Colon Cancer,Colon Cancer
230,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma
231,Bioequivalence,Bioequivalence
232,Bipolar Depression,Bipolar Depression
233,Actinic Keratosis,Actinic Keratosis
234,Traumatic Brain Injury,Traumatic Brain Injury
235,Locally Advanced Rectal Cancer,Rectal Cancer
236,Esophageal Cancer; Gastric Cancer,Esophageal and Gastric Cancer
237,Migraine Disorders,Migraine Disorders
238,Recurrent Acute Leukemia of Ambiguous Lineage; Recurrent Acute Lymphoblastic Leukemia; Recurrent Acute Myeloid Leukemia; Refractory Acute Lymphoblastic Leukemia; Refractory Acute Myeloid Leukemia; Refractory Acute Leukemia of Ambiguous Lineage,Refractory and Recurrent Acute Leukemia
239,Liver Transplantation,Liver Transplantation
240,Chronic Low Back Pain,Chronic Low Back Pain
241,Recurrent Acute Myeloid Leukemia; Refractory Acute Myeloid Leukemia,Recurrent Acute Myeloid Leukemia; Refractory Acute Myeloid Leukemia
242,Multiple Myeloma and Plasma Cell Neoplasm,Multiple Myeloma and Plasma Cell Neoplasm
243,Ankylosing Spondylitis,Ankylosing Spondylitis
244,Acute Kidney Injury,Acute Kidney Injury
245,"Neoplasms, Breast","Neoplasms, Breast"
246,Dyslipidemia,Dyslipidemia
247,Relapsing Multiple Sclerosis,Relapsing Multiple Sclerosis
248,Early Breast Cancer,Early Breast Cancer
249,Non-Small-Cell Lung Cancer,Non-Small-Cell Lung Cancer
250,Squamous Cell Carcinoma of the Head and Neck,Squamous Cell Carcinoma of the Head and Neck
251,Periodontitis,Periodontitis
252,Prostate Cancer Metastatic,Prostate Cancer Metastatic
253,Non-small-cell Lung Cancer,Non-small-cell Lung Cancer
254,Hodgkin Disease,Hodgkin Disease
255,End Stage Renal Disease,End Stage Renal Disease
256,Anemia,Anemia
257,Glioma,Glioma
258,HER2-positive Breast Cancer,HER2-positive Breast Cancer
259,Fallopian Tube Cancer; Ovarian Cancer; Primary Peritoneal Cavity Cancer,Fallopian Tube Cancer; Ovarian Cancer; Primary Peritoneal Cavity Cancer
260,Pulmonary Embolism,Pulmonary Embolism
261,Breast Cancer Metastatic,Breast Cancer Metastatic
262,Chemotherapy-induced Peripheral Neuropathy,Chemotherapy-induced Peripheral Neuropathy
263,Urothelial Carcinoma; Bladder Cancer; Urinary Bladder Neoplasms,Urothelial Carcinoma; Bladder Cancer; Urinary Bladder Neoplasms
264,AL Amyloidosis,AL Amyloidosis
265,Head and Neck Neoplasms,Head and Neck Neoplasms
266,HIV/AIDS,HIV/AIDS
267,Cancer; Tumors; Neoplasm; Neoplasia,Cancer; Tumors; Neoplasm; Neoplasia
268,Acute Myocardial Infarction,Acute Myocardial Infarction
269,Osteoporosis,Osteoporosis
270,Irritable Bowel Syndrome,Irritable Bowel Syndrome
271,Stomach Neoplasms,Stomach Neoplasms
272,"Solid Tumor, Adult","Solid Tumor, Adult"
273,Oral Lichen Planus,Oral Lichen Planus
274,"Lymphoma, Non-Hodgkin; Multiple Myeloma; Advanced Solid Tumors",Lymphoid Neoplasms
275,Short Bowel Syndrome,Short Bowel Syndrome
276,HIV-1-infection,HIV-1-infection
277,Melasma,Melasma
278,Dry Eye,Dry Eye
279,Osteoarthritis of the Knee,Osteoarthritis of the Knee
280,Delirium,Delirium
281,Sepsis,Sepsis
282,Immune Thrombocytopenia,Immune Thrombocytopenia
283,Retinoblastoma,Retinoblastoma
284,"Acute Myeloid Leukemia, Adult","Acute Myeloid Leukemia, Adult"
285,Neuroendocrine Tumors,Neuroendocrine Tumors
286,Dry Eye Syndromes,Dry Eye Syndromes
287,Congenital Heart Disease,Congenital Heart Disease
288,"Colitis, Ulcerative","Colitis, Ulcerative"
289,Advanced Lymphoma; Advanced Malignant Solid Neoplasm; Bladder Carcinoma; Breast Carcinoma; Cervical Carcinoma; Colon Carcinoma; Colorectal Carcinoma; Endometrial Carcinoma; Esophageal Carcinoma; Exocrine Pancreas Carcinoma; Gastric Carcinoma; Glioma; Head and Neck Carcinoma; Hematopoietic and Lymphoid Cell Neoplasm; Kidney Carcinoma; Liver Carcinoma; Lung Carcinoma; Lymphoma; Malignant Uterine Corpus Neoplasm; Malignant Uterine Neoplasm; Melanoma; Multiple Myeloma; Ovarian Carcinoma; Prostate Carcinoma; Rectal Carcinoma; Recurrent Bladder Carcinoma; Recurrent Breast Carcinoma; Recurrent Cervical Carcinoma; Recurrent Colon Carcinoma; Recurrent Colorectal Carcinoma; Recurrent Esophageal Carcinoma; Recurrent Gastric Carcinoma; Recurrent Glioma; Recurrent Head and Neck Carcinoma; Recurrent Liver Carcinoma; Recurrent Lung Carcinoma; Recurrent Lymphoma; Recurrent Malignant Solid Neoplasm; Recurrent Malignant Uterine Corpus Neoplasm; Recurrent Melanoma; Recurrent Multiple Myeloma; Recurrent Ovarian Carcinoma; Recurrent Pancreatic Carcinoma; Recurrent Prostate Carcinoma; Recurrent Rectal Carcinoma; Recurrent Skin Carcinoma; Recurrent Thyroid Gland Carcinoma; Refractory Lymphoma; Refractory Malignant Solid Neoplasm; Refractory Multiple Myeloma; Skin Carcinoma; Thyroid Gland Carcinoma,Advanced Malignancies and Carcinomas
290,Breast Neoplasm Female,Female Breast Neoplasm
291,Mesothelioma,Mesothelioma
292,Aplastic Anemia,Aplastic Anemia
293,Pregnancy,Pregnancy
294,Graft Versus Host Disease,Graft Versus Host Disease
295,Critical Illness,Critical Illness
296,Biliary Tract Cancer,Biliary Tract Cancer
297,Influenza,Influenza
298,Crohn Disease,Crohn Disease
299,"Infection, Human Immunodeficiency Virus","Infection, Human Immunodeficiency Virus"
300,Advanced Cancers,Advanced Cancers
301,Advanced Gastric Cancer,Advanced Gastric Cancer
302,Mild Cognitive Impairment,Mild Cognitive Impairment
303,Triple-negative Breast Cancer,Triple-negative Breast Cancer
304,Breast Cancer; Metastatic Breast Cancer,Breast Cancer; Metastatic Breast Cancer
305,Prostate Adenocarcinoma,Prostate Adenocarcinoma
306,Myeloma,Myeloma
307,"Dermatitis, Atopic","Dermatitis, Atopic"
308,Metastatic Castration-Resistant Prostate Cancer,Metastatic Castration-Resistant Prostate Cancer
309,Attention Deficit Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder
310,Anorexia Nervosa,Anorexia Nervosa
311,Fungal Infection,Fungal Infection
312,"Lymphoma, Mantle-Cell","Lymphoma, Mantle-Cell"
313,Breast Cancer Stage IV,Breast Cancer Stage IV
314,Dementia,Dementia
315,Prostatic Hyperplasia,Prostatic Hyperplasia
316,Chronic Hepatitis C,Chronic Hepatitis C
317,Myocardial Infarction,Myocardial Infarction
318,Colorectal Carcinoma,Colorectal Carcinoma
319,Alopecia Areata,Alopecia Areata
320,Relapsed and/or Refractory Multiple Myeloma,Relapsed and/or Refractory Multiple Myeloma
321,Osteosarcoma,Osteosarcoma
322,Analgesia,Pain Management
323,Insomnia,Insomnia
324,Diabetic Retinopathy,Diabetic Retinopathy
325,Dental Plaque,Dental Plaque
326,Post Operative Pain,Post Operative Pain
327,Alcohol Use Disorder,Alcohol Use Disorder
328,Pancreatic Ductal Adenocarcinoma,Pancreatic Ductal Adenocarcinoma
329,Cholangiocarcinoma,Cholangiocarcinoma
330,Lung Neoplasms,Lung Neoplasms
331,Colon Cancer; Rectal Cancer,Colon Cancer; Rectal Cancer
332,Obsessive Compulsive Disorder,Obsessive Compulsive Disorder
333,"Hepatitis C, Chronic",Chronic Hepatitis C
334,Tumors,Tumors
335,Congestive Heart Failure,Congestive Heart Failure
336,Pancreatic Neoplasms,Pancreatic Neoplasms
337,Lupus Nephritis,Lupus Nephritis
338,Human Immunodeficiency Virus,Human Immunodeficiency Virus
339,Parkinson's Disease (PD),Parkinson's Disease
340,Non-small Cell Lung Cancer (NSCLC),Non-small Cell Lung Cancer (NSCLC)
341,Spinal Cord Injuries,Spinal Cord Injuries
342,Actinic Keratoses,Actinic Keratoses
343,Androgenetic Alopecia,Androgenetic Alopecia
344,Juvenile Idiopathic Arthritis,Juvenile Idiopathic Arthritis
345,Cystinosis,Cystinosis
346,Hereditary Hemorrhagic Telangiectasia,Hereditary Hemorrhagic Telangiectasia
347,Hepatic Impairment,Hepatic Impairment
348,Mycoses,Mycoses
349,Refractory Multiple Myeloma,Refractory Multiple Myeloma
350,Hearing Loss,Hearing Loss
351,Acute Myeloid Leukaemia,Acute Myeloid Leukaemia
352,HIV-1,HIV-1
353,"Prostatic Neoplasms, Castration-Resistant",Castration-Resistant Prostatic Neoplasms
354,Chronic Hepatitis B,Chronic Hepatitis B
355,HIV Infections; Tuberculosis,HIV-1
356,Hyperlipidemia,Hyperlipidemia
357,Smoking Cessation,Smoking Cessation
358,Premenstrual Syndrome,Premenstrual Syndrome
359,Allergic Rhinitis,Allergic Rhinitis
360,Dyspepsia,Dyspepsia
361,Inflammation,Inflammation
362,Thrombosis,Thrombosis
363,Cerebrovascular Accident,Cerebrovascular Accident
364,Intermittent Claudication,Intermittent Claudication
365,Overweight,Obesity and Weight Management
366,"Anesthesia, Local",Local Anesthesia
367,Anxiety Disorders,Anxiety Disorders
368,Hematologic Malignancies,Hematologic Malignancies
369,Hematologic Malignancy,Hematologic Malignancy
370,Acute Respiratory Distress Syndrome,Acute Respiratory Distress Syndrome
371,Diabetic Nephropathy,Diabetic Nephropathy
372,Inflammatory Bowel Diseases,Inflammatory Bowel Diseases
373,Hidradenitis Suppurativa,Hidradenitis Suppurativa
374,Metastatic Castration Resistant Prostate Cancer,Metastatic Castration Resistant Prostate Cancer
375,Neck Pain,Neck Pain
376,"Infertility, Female",Female Infertility
377,Amyotrophic Lateral Sclerosis (ALS),Amyotrophic Lateral Sclerosis (ALS)
378,Medullary Thyroid Cancer,Medullary Thyroid Cancer
379,Gastroparesis,Gastroparesis
380,"Lung Cancer, Non-Small Cell","Lung Cancer, Non-Small Cell"
381,Rectal Neoplasms,Rectal Neoplasms
382,Peripheral Artery Disease,Peripheral Artery Disease
383,Langerhans Cell Histiocytosis,Langerhans Cell Histiocytosis
384,Generalized Anxiety Disorder,Generalized Anxiety Disorder
385,Fallopian Tube Cancer; Ovarian Cancer; Peritoneal Cavity Cancer,Fallopian Tube Cancer; Ovarian Cancer; Peritoneal Cavity Cancer
386,Presbyopia,Presbyopia
387,Acute Myelogenous Leukemia; Myelodysplastic Syndrome,Myelodysplastic Syndrome
388,Weight Loss,Weight Loss
389,Septic Shock,Septic Shock
390,Glioblastoma Multiforme,Glioblastoma Multiforme
391,Leukemia; Myelodysplastic Syndromes; Myelodysplastic/Myeloproliferative Neoplasms,Hematological Malignancies
392,Secondary Hyperparathyroidism,Secondary Hyperparathyroidism
393,Temporomandibular Disorder,Temporomandibular Disorder
394,Takayasu Arteritis,Takayasu Arteritis
395,ADHD,ADHD
396,Malignant Pleural Mesothelioma,Malignant Pleural Mesothelioma
397,Metastatic Cancer,Metastatic Cancer
398,Metastatic Pancreatic Adenocarcinoma,Metastatic Pancreatic Adenocarcinoma
399,Surgery,Surgery
400,Anxiety,Anxiety
401,Colorectal Cancer; Metastatic Cancer,Colorectal Cancer; Metastatic Cancer
402,Neuropathic Pain,Neuropathic Pain
403,HIV Infections; Pregnancy,HIV in Pregnancy
404,Myelofibrosis,Myelofibrosis
405,Relapsing-remitting Multiple Sclerosis,Relapsing-remitting Multiple Sclerosis
406,Advanced Breast Carcinoma; Advanced Malignant Solid Neoplasm; Advanced Ovarian Carcinoma; Advanced Pancreatic Carcinoma; Advanced Prostate Carcinoma; Advanced Sarcoma; Anatomic Stage III Breast Cancer AJCC v8; Anatomic Stage IV Breast Cancer AJCC v8; Recurrent Adult Soft Tissue Sarcoma; Recurrent Breast Carcinoma; Recurrent Ovarian Carcinoma; Recurrent Prostate Carcinoma; Stage II Pancreatic Cancer AJCC v8; Stage III Ovarian Cancer AJCC v8; Stage III Pancreatic Cancer AJCC v8; Stage IV Ovarian Cancer AJCC v8; Stage IV Pancreatic Cancer AJCC v8,Advanced Breast Carcinoma; Advanced Malignant Solid Neoplasm; Advanced Ovarian Carcinoma; Advanced Pancreatic Carcinoma; Advanced Prostate Carcinoma; Advanced Sarcoma; Anatomic Stage III Breast Cancer AJCC v8; Anatomic Stage IV Breast Cancer AJCC v8; Recurrent Adult Soft Tissue Sarcoma; Recurrent Breast Carcinoma; Recurrent Ovarian Carcinoma; Recurrent Prostate Carcinoma; Stage II Pancreatic Cancer AJCC v8; Stage III Ovarian Cancer AJCC v8; Stage III Pancreatic Cancer AJCC v8; Stage IV Ovarian Cancer AJCC v8; Stage IV Pancreatic Cancer AJCC v8
407,Leptomeningeal Metastasis,Leptomeningeal Metastasis
408,Urinary Incontinence,Urinary Incontinence
409,Diabetic Nephropathies,Diabetic Nephropathies
410,Invasive Aspergillosis,Invasive Aspergillosis
411,Major Depressive Disorder (MDD),Major Depressive Disorder
412,Scabies,Scabies
413,"Depressive Disorder, Treatment-Resistant",Treatment-Resistant Depression
414,Tinnitus,Tinnitus
415,Heart Failure With Reduced Ejection Fraction,Heart Failure With Reduced Ejection Fraction
416,"Leukemia, Myelocytic, Acute",Acute Myeloid Leukemia and Myelodysplastic Syndrome
417,Gastric Ulcer,Gastric Ulcer
418,Advanced Lymphoma; Advanced Malignant Solid Neoplasm; Hematopoietic and Lymphoid Cell Neoplasm; Refractory Lymphoma; Refractory Malignant Solid Neoplasm; Refractory Multiple Myeloma,Advanced Solid Tumors
419,"Telangiectasia, Hereditary Hemorrhagic","Telangiectasia, Hereditary Hemorrhagic"
