indication_mesh_term	organ
Status Epilepticus	CNS/Brain
Tuberous Sclerosis	
Hematopoietic Stem Cell Mobilization	
Hemophilia B	
Common Cold	Lung
Hemolytic-Uremic Syndrome	
Hemorrhage	
Myopia	
Narcolepsy	CNS/Brain
Nasal Polyps	Lung
Neuronal Ceroid-Lipofuscinoses	CNS/Brain
Polycystic Ovary Syndrome	Ovary/Fallopian Tube
Prurigo	Skin
Spasms, Infantile	CNS/Brain
Angioedemas, Hereditary	Skin
Immunoglobulin Light-chain Amyloidosis	
Ascites	
Coronary Thrombosis	
Hepatitis D	Liver
Hepatitis, Viral, Human	Liver
Restless Legs Syndrome	CNS/Brain
Dermatitis, Seborrheic	Skin
Ulcer	
Hyperphosphatemia	
Drug-Related Side Effects and Adverse Reactions	
Opioid-Induced Constipation	
Adrenoleukodystrophy	CNS/Brain
Dwarfism, Pituitary	CNS/Brain
Dysmenorrhea	
Obstetric Labor, Premature	
Nephritis, Hereditary	Kidney
Prostatitis	
Shock, Traumatic	
Acromegaly	CNS/Brain
Amyloidosis	
Anemia, Aplastic	
Anthrax	
Cluster Headache	CNS/Brain
Epilepsy, Tonic-Clonic	CNS/Brain
Glycogen Storage Disease Type II	CNS/Brain
Hypoglycemia	
Hypogonadism	
Ichthyosis	Skin
Leprosy	
Lymphoproliferative Disorders	
Neurofibromatosis 1	
Rhinitis, Allergic, Perennial	Lung
Stomach Ulcer	Esophagus/Stomach
Bronchitis, Chronic	Lung
Dyslipidemias	
Leber Congenital Amaurosis	
Premature Ejaculation	
Candidiasis	
Hypercalcemia	
Hyperparathyroidism, Secondary	
Infertility, Male	
Menorrhagia	
Wilms Tumor	
Polymyalgia Rheumatica	Skin
Venous Insufficiency	
Ventricular Fibrillation	
Arthritis, Gouty	
Eye Infections	
Severe Combined Immunodeficiency	
alpha 1-Antitrypsin Deficiency	
Amyloid Neuropathies, Familial	CNS/Brain
Tardive Dyskinesia	Skin
Amino Acid Metabolism, Inborn Errors	
Urinary Bladder, Neurogenic	Bladder/Urinary Tract
Edema, Cardiac	
Gaucher Disease	CNS/Brain
Hepatorenal Syndrome	Liver
Herpes Zoster	
Keratitis	
Hyperlipoproteinemia Type I	
Myositis Ossificans	
Myotonia	CNS/Brain
Premenstrual Syndrome	
Purpura, Thrombotic Thrombocytopenic	
Regeneration	
Skin Diseases, Infectious	Skin
Spinal Fusion	
Urinary Tract Infections	Bladder/Urinary Tract
von Willebrand Diseases	
Granulomatosis with Polyangiitis	Lung
Thrombotic Microangiopathies	
Reproductive Tract Infections	
Hypoadrenocorticism, Familial	
Bulimia	
Cholestasis, Intrahepatic	Liver
Dystonia	CNS/Brain
Hyperoxaluria	
Peptic Ulcer	Esophagus/Stomach
Proctitis	
Sialorrhea	
Synovitis, Pigmented Villonodular	
Tennis Elbow	
Tachycardia, Ventricular	
Hormone Replacement Therapy	
Postoperative Nausea and Vomiting	
Graves Ophthalmopathy	
Bulimia Nervosa	
Tendinopathy	
Cryopyrin-Associated Periodic Syndromes	Skin
Addison Disease	
Afibrinogenemia	
Fabry Disease	CNS/Brain
Bursitis	
Disseminated Intravascular Coagulation	
Duodenal Ulcer	Esophagus/Stomach
Dyspareunia	
Esophageal and Gastric Varices	Esophagus/Stomach
Esophagitis, Peptic	Esophagus/Stomach
Postpartum Hemorrhage	
Hypoparathyroidism	
Hypophosphatasia	
Labor, Induced	
Lipoma	
Metabolism, Inborn Errors	
Mucocutaneous Lymph Node Syndrome	Skin
Porphyrias	
Stomatitis, Aphthous	
Tachycardia, Supraventricular	
Thrombophlebitis	
Turner Syndrome	
Still's Disease, Adult-Onset	Skin
Hypophosphatemia	
Tympanic Membrane Perforation	
Antithrombin III Deficiency	
Hyperammonemia	
Optic Atrophy, Hereditary, Leber	CNS/Brain
Erdheim-Chester Disease	
Lymphatic Abnormalities	
Lymphohistiocytosis, Hemophagocytic	
Microscopic Polyangiitis	CNS/Brain
Alstrom Syndrome	CNS/Brain
Smith-Magenis Syndrome	CNS/Brain
Atrophic Vaginitis	Vulva/Vagina
Abortion, Spontaneous	
Primary Immunodeficiency Diseases	
Blepharoptosis	
Cataplexy	CNS/Brain
Cerebral Palsy	CNS/Brain
Malignant Carcinoid Syndrome	
Mucopolysaccharidosis IV	Skin
Exocrine Pancreatic Insufficiency	Pancreas
Phenylketonurias	CNS/Brain
Polyuria	
Puberty, Delayed	
Puberty, Precocious	
Zollinger-Ellison Syndrome	
Helicobacter Infections	
HIV Wasting Syndrome	
Tyrosinemias	CNS/Brain
Bardet-Biedl Syndrome	CNS/Brain
Protoporphyria, Erythropoietic	
Urea Cycle Disorders, Inborn	CNS/Brain
Anemia, Hemolytic, Congenital Nonspherocytic	
Anesthesia Recovery Period	
Cryptorchidism	
Drug Synergism	
Factor XI Deficiency	
Heart Defects, Congenital	
Hepatitis A	Liver
von Hippel-Lindau Disease	CNS/Brain
Hyperbilirubinemia	
Hypoprothrombinemias	
Hypothyroidism	
Jaundice	
Leukopenia	
Malignant Hyperthermia	
alpha-Mannosidosis	
Neoplasms, Connective Tissue	
Osteomalacia	
Paraphilic Disorders	
Familial Mediterranean Fever	
Rectal Fistula	Bowel
Thrombasthenia	
Trichomonas Infections	
Vitamin D Deficiency	
Wolman Disease	
Mucopolysaccharidosis II	CNS/Brain
Mucopolysaccharidosis VII	Skin
Lymphangioleiomyomatosis	Uterus
Hemangioblastoma	
Heat Stroke	CNS/Brain
Coagulation Protein Disorders	
Hyperparathyroidism, Primary	
Mevalonate Kinase Deficiency	CNS/Brain
Perivascular Epithelioid Cell Neoplasms	
Macular Degeneration	
Cognition Disorders	
Gastrointestinal Neoplasms	Bowel
Acute Lung Injury	Lung
Gastrointestinal Diseases	Bowel
Acute Kidney Injury	Kidney
Reperfusion Injury	
Autistic Disorder	
Liver Diseases	Liver
Stress Disorders, Post-Traumatic	
Lupus Nephritis	Kidney
Carcinoid Tumor	
Leiomyosarcoma	
Urethritis	
Renal Insufficiency	Kidney
Lupus Erythematosus, Cutaneous	Skin
Metabolic Syndrome	
Glomerulosclerosis, Focal Segmental	Kidney
Polycystic Kidney Diseases	Kidney
Mucositis	
Liposarcoma	
Cholangitis, Sclerosing	Liver
Hearing Loss	CNS/Brain
Fragile X Syndrome	CNS/Brain
Rett Syndrome	CNS/Brain
Sarcoma, Synovial	
Pemphigoid, Bullous	Skin
Sarcoidosis	
Frontotemporal Dementia	CNS/Brain
Hepatitis	Liver
Aminophenols	
Bone Diseases	
Eye Neoplasms	
Tourette Syndrome	CNS/Brain
Supranuclear Palsy, Progressive	CNS/Brain
Dermatomyositis	Skin
Delayed Graft Function	
Phobia, Social	
Cerebral Hemorrhage	CNS/Brain
Intervertebral Disc	
Glomerulonephritis	Kidney
Polymyositis	CNS/Brain
Hypereosinophilic Syndrome	
Graft Rejection	
Intermittent Claudication	
Spasm	CNS/Brain
Muscular Dystrophies, Limb-Girdle	CNS/Brain
Bronchiectasis	Lung
Headache	
Short Bowel Syndrome	Bowel
Cardiomyopathy, Dilated	
Myotonic Dystrophy	CNS/Brain
Myositis, Inclusion Body	CNS/Brain
Borderline Personality Disorder	
Gastritis	Esophagus/Stomach
Photosensitivity Disorders	Skin
Glomerulonephritis, Membranous	Kidney
Pyoderma Gangrenosum	Skin
Multiple System Atrophy	CNS/Brain
Muscular Dystrophy, Facioscapulohumeral	CNS/Brain
Pressure Ulcer	Skin
Food Hypersensitivity	
Immunologic Deficiency Syndromes	
Tay-Sachs Disease	CNS/Brain
Trigeminal Neuralgia	Peripheral Nervous System
Complex Regional Pain Syndromes	CNS/Brain
Dyssomnias	CNS/Brain
Neurodevelopmental Disorders	
Epileptic Syndromes	CNS/Brain
Coronary Artery Bypass	
Enuresis	
Gastroenteritis	
Gastrointestinal Motility	Bowel
Otitis Media	
Pre-Eclampsia	
Retinopathy of Prematurity	
Sandhoff Disease	CNS/Brain
Dementia, Vascular	CNS/Brain
Optic Neuropathy, Ischemic	Peripheral Nervous System
Netherton Syndrome	Skin
Healthcare-Associated Pneumonia	Lung
Anorexia Nervosa	
Brain Diseases	CNS/Brain
Ehlers-Danlos Syndrome	Skin
Mucopolysaccharidosis III	Skin
Pterygium	
Urination Disorders	
Varicose Ulcer	Skin
Neurofibromatosis 2	
Aortic Valve Stenosis	
Delirium	CNS/Brain
Castleman Disease	
Retinal Detachment	
Takayasu Arteritis	Skin
Thromboangiitis Obliterans	
Tinnitus	CNS/Brain
Churg-Strauss Syndrome	
Mitochondrial Myopathies	CNS/Brain
Lung Diseases, Interstitial	Lung
Polyradiculoneuropathy, Chronic Inflammatory Demyelinating	Peripheral Nervous System
Myopathies, Structural, Congenital	CNS/Brain
Gallstones	
Congenital Hyperinsulinism	
Usher Syndromes	CNS/Brain
Immunoglobulin G4-Related Disease	
Basal Cell Nevus Syndrome	Skin
Diverticulitis	Bowel
Glycogen Storage Disease Type I	
Joint Diseases	
Leigh Disease	CNS/Brain
Malabsorption Syndromes	
Meniere Disease	
Skin Aging	Skin
Fibromatosis, Aggressive	
Ornithine Carbamoyltransferase Deficiency Disease	CNS/Brain
Idiopathic Hypersomnia	CNS/Brain
Brain Diseases, Metabolic, Inborn	CNS/Brain
Pachyonychia Congenita	Skin
Macrophage Activation Syndrome	
Diabetic Cardiomyopathies	
Aspergillosis	
Biliary Atresia	Liver
Blepharitis	
Fuchs' Endothelial Dystrophy	
Gonorrhea	
Hepatolenticular Degeneration	Liver
Hyponatremia	
Osteogenesis Imperfecta	Skin
Pancreatic Diseases	Pancreas
Presbyopia	
Scleritis	
Vestibular Diseases	
Behavior, Addictive	
Citrullinemia	CNS/Brain
Hyperargininemia	CNS/Brain
Demyelinating Autoimmune Diseases, CNS	CNS/Brain
Muscular Dystrophy, Oculopharyngeal	CNS/Brain
Argininosuccinic Aciduria	CNS/Brain
Retinal Telangiectasis	
Mastodynia	
Morton Neuroma	CNS/Brain
Amenorrhea	
Carbohydrate Metabolism, Inborn Errors	
Factor VII Deficiency	
Galactosemias	CNS/Brain
Hemolysis	
Hyperplasia	
Kernicterus	CNS/Brain
Penile Induration	Skin
Pericarditis	
Pulmonary Alveolar Proteinosis	Lung
HTLV-I Infections	
Alagille Syndrome	
Conduct Disorder	
Unverricht-Lundborg Syndrome	CNS/Brain
Alexander Disease	CNS/Brain
Subcutaneous Fat	Skin
Fibrosis	
Metabolic Diseases	
Respiration Disorders	Lung
Skin Neoplasms	Skin
Female Urogenital Diseases and Pregnancy Complications	
Male Urogenital Diseases	
Dyskinesias	Skin
Nephrosclerosis	Kidney
Testicular Neoplasms	
Central Nervous System Neoplasms	CNS/Brain
Cardiomyopathies	
Pancreatitis	Pancreas
Peripheral Nervous System Diseases	Peripheral Nervous System
Urogenital Neoplasms	
Sarcopenia	CNS/Brain
Encephalitis	CNS/Brain
Arrhythmias, Cardiac	
Endocrine System Diseases	
Kidney Diseases	Kidney
Thymoma	
Vaginal Neoplasms	Vulva/Vagina
Hemorrhagic Fever, Ebola	
Rhinitis	Lung
Celiac Disease	
Diarrhea	
Neuroectodermal Tumors, Primitive	
Fractures, Bone	
Charcot-Marie-Tooth Disease	CNS/Brain
Dermatitis, Contact	Skin
Staphylococcal Infections	
Gliosarcoma	
Hepatitis, Alcoholic	Liver
Bone Marrow Diseases	
Telangiectasia, Hereditary Hemorrhagic	
Herpes Simplex	Skin
Myositis	CNS/Brain
Nephritis	Kidney
Subarachnoid Hemorrhage	CNS/Brain
Thymus Neoplasms	
Respiratory Syncytial Virus Infections	Lung
Regenerative Medicine	
Cardiomyopathy, Hypertrophic	
Carcinoma, Adenoid Cystic	
Endomyocardial Fibrosis	
Mouth Neoplasms	
Periodontitis	
Trauma, Nervous System	CNS/Brain
Down Syndrome	CNS/Brain
Dwarfism	
Hyperthyroidism	
Rabies	
Angelman Syndrome	CNS/Brain
Neurofibromatoses	
Amphetamine-Related Disorders	
Mitochondrial Diseases	
Hemochromatosis	
Hypertension, Portal	
Keloid	Skin
Muscular Atrophy	CNS/Brain
Nephrotic Syndrome	Kidney
Glucose Intolerance	
Aneurysm	
Bronchopulmonary Dysplasia	Lung
Raynaud Disease	
Respiratory Distress Syndrome, Newborn	Lung
Respiratory Insufficiency	Lung
Vascular Diseases	
Keratitis, Herpetic	
Stem Cell Transplantation	
Leukemia, Prolymphocytic, B-Cell	
Bone Diseases, Metabolic	
Uterine Cervical Dysplasia	Uterus
Corneal Ulcer	
Edema	
Histiocytosis, Langerhans-Cell	Lung
Mucopolysaccharidosis I	Skin
Lymphedema	
Meningioma	CNS/Brain
Optic Neuritis	CNS/Brain
Pulmonary Edema	Lung
Xerostomia	
Weight Gain	
Fatigue Syndrome, Chronic	CNS/Brain
Antiphospholipid Syndrome	
Essential Tremor	CNS/Brain
Bone Regeneration	
Carcinoma, Squamous Cell	Skin
Chromosome Deletion	
Erythromelalgia	
Esophagitis	Esophagus/Stomach
Fecal Incontinence	
Fibrosarcoma	
Nevus	
Proteinuria	
Red-Cell Aplasia, Pure	
Pouchitis	
Capillary Leak Syndrome	
Urinary Bladder, Underactive	Bladder/Urinary Tract
Postoperative Cognitive Complications	
Chondrosarcoma	
Color Vision Defects	CNS/Brain
Fanconi Anemia	
Granulomatous Disease, Chronic	
Leukodystrophy, Globoid Cell	CNS/Brain
Lymphopenia	
Spinal Stenosis	
Tendon Injuries	
Wiskott-Aldrich Syndrome	
Glomerulonephritis, Membranoproliferative	Kidney
Leukemia, Prolymphocytic, T-Cell	
Urinary Retention	Bladder/Urinary Tract
Pleural Effusion, Malignant	
Gangliosidosis, GM1	CNS/Brain
MELAS Syndrome	CNS/Brain
Lichen Planus, Oral	Bowel
Propionic Acidemia	
Vascular Calcification	
Barrett Esophagus	Esophagus/Stomach
Blindness	CNS/Brain
Coccidioidomycosis	
Dysautonomia, Familial	CNS/Brain
Fatigue	
Hyperaldosteronism	
Intervertebral Disc Displacement	
Leukemia, Mast-Cell	
Mucopolysaccharidosis VI	Skin
Mycobacterium Infections, Nontuberculous	
Neonatal Abstinence Syndrome	
Pituitary Neoplasms	
Rickets	
Teratoma	
Trisomy	
Trophoblastic Neoplasms	
Vertigo	CNS/Brain
Corneal Edema	
Choroid Diseases	
Systemic Inflammatory Response Syndrome	
Schnitzler Syndrome	
Invasive Fungal Infections	
Congenital Bone Marrow Failure Syndromes	
Alveolitis, Extrinsic Allergic	Lung
Amblyopia	CNS/Brain
Arteriovenous Malformations	
Blepharospasm	
Marijuana Abuse	
Cerebellar Diseases	CNS/Brain
Cholangitis	Liver
Corneal Diseases	
Crigler-Najjar Syndrome	
Cystinosis	
Ectodermal Dysplasia	Skin
Esophageal Achalasia	Esophagus/Stomach
Fibrocystic Breast Disease	Breast
Fissure in Ano	
Homocystinuria	CNS/Brain
Hyperprolactinemia	CNS/Brain
Hypertrophy	
Hypocalcemia	
Disruptive, Impulse Control, and Conduct Disorders	
Keratoconus	
Darier Disease	Skin
Lactation Disorders	Skin
Leukodystrophy, Metachromatic	CNS/Brain
Leukoplakia	
Necrobiosis Lipoidica	Skin
Penile Neoplasms	
Pityriasis Rubra Pilaris	Skin
Polyneuropathies	CNS/Brain
Pseudohypoaldosteronism	
Ross River virus	
Skin Diseases, Vesiculobullous	Skin
Trichotillomania	
Wounds and Injuries	
Choroideremia	
Osteochondroma	
Keratosis, Seborrheic	Skin
Alcohol-Related Disorders	
Retinoschisis	
Steatorrhea	
Hypoalphalipoproteinemias	
Leukemia, Large Granular Lymphocytic	
Virus Diseases	
Substance-Related Disorders	
Malaria	
Musculoskeletal Diseases	
Poisoning	
Brain Injuries	CNS/Brain
Dengue	
Mycoses	
Chordoma	
Cytomegalovirus Infections	
Organophosphate Poisoning	
Niemann-Pick Diseases	CNS/Brain
Fatty Liver, Alcoholic	Liver
Amnesia	CNS/Brain
Cerebral Infarction	CNS/Brain
Dermatitis	Skin
Enterocolitis, Necrotizing	Bowel
Frailty	
Deglutition Disorders	
Picornaviridae Infections	
Stomatitis	
West Nile Fever	CNS/Brain
Motor Neuron Disease	CNS/Brain
Transfusion Reaction	
Premenstrual Dysphoric Disorder	
Chronic Traumatic Encephalopathy	CNS/Brain
Anaphylaxis	
Hirsutism	Skin
Hypothalamic Diseases	CNS/Brain
Lysosomal Storage Diseases	
IgG Deficiency	
Caliciviridae Infections	
Anemia, Iron-Deficiency	
Hepatic Insufficiency	Liver
Hashimoto Disease	
Leukemia, Myelomonocytic, Juvenile	
Autoimmune Lymphoproliferative Syndrome	
Bone Diseases, Infectious	
Brain Edema	CNS/Brain
Cryptococcosis	
Herpesviridae Infections	
Lecithin Cholesterol Acyltransferase Deficiency	
Lyme Disease	
Maple Syrup Urine Disease	CNS/Brain
Osteopetrosis	
Tularemia	
POEMS Syndrome	CNS/Brain
Pinguecula	
Intraabdominal Infections	
Pelvic Inflammatory Disease	
Albinism	Skin
Ataxia Telangiectasia	CNS/Brain
Bone Cysts	
Cholera	
Gynecomastia	Skin
Lipid Metabolism, Inborn Errors	
Torticollis	
Toxoplasmosis	
Xeroderma Pigmentosum	
Mycobacterium avium-intracellulare Infection	
Lichen Sclerosus et Atrophicus	Skin
Neurodegenerative Diseases	CNS/Brain
Glycogen Storage Disease Type IIb	CNS/Brain
Neurogenic Bowel	Bowel
Osteogenesis	
Muscular Dystrophies	CNS/Brain
Zika Virus Infection	
Coronavirus Infections	
AIDS Dementia Complex	CNS/Brain
Feeding and Eating Disorders	
Retinal Artery Occlusion	
Eye Injuries	CNS/Brain
Guillain-Barre Syndrome	CNS/Brain
Adenovirus Infections, Human	
Leukoencephalopathy, Progressive Multifocal	CNS/Brain
Neurilemmoma	
Pneumococcal Infections	
Pseudomonas Infections	
Smallpox	
Lafora Disease	CNS/Brain
Abnormalities, Multiple	
Ciliary Motility Disorders	Lung
Conjunctivitis	
Diabetes Insipidus	
Ear Diseases	
Hemiplegia	CNS/Brain
Job Syndrome	
Meningitis	CNS/Brain
Noonan Syndrome	Skin
Osteitis Deformans	
Paget's Disease, Mammary	Breast
Paget Disease, Extramammary	Breast
Tetralogy of Fallot	
Cerebral Amyloid Angiopathy	CNS/Brain
Burkholderia Infections	
Epstein-Barr Virus Infections	
Intracranial Thrombosis	CNS/Brain
Ataxia	CNS/Brain
Corneal Dystrophies, Hereditary	
Ductus Arteriosus, Patent	
Hamartoma Syndrome, Multiple	
Hyperventilation	Lung
Hypothermia	
Keratoconjunctivitis	
Long QT Syndrome	
Myocarditis	
Nervous System Malformations	CNS/Brain
Neurotic Disorders	
Osteosclerosis	
Phobic Disorders	
Chronic Kidney Disease-Mineral and Bone Disorder	Kidney
Schistosomiasis	
Streptococcal Infections	
Chagas Disease	
Wolfram Syndrome	CNS/Brain
Hepatitis E	Liver
Gram-Positive Bacterial Infections	
Amyloidosis, Familial	
Abdominal Injuries	
Immunosenescence	
Cone-Rod Dystrophies	
Ciliopathies	
Birdshot Chorioretinopathy	
Acidosis	
Agammaglobulinemia	
Alcoholic Intoxication	
Anemia, Hemolytic, Congenital	
Angioedema	Skin
Bone Diseases, Developmental	
Botulism	CNS/Brain
Bradycardia	
Chlamydia Infections	
Cryptosporidiosis	
Encephalitis, Japanese	CNS/Brain
Encephalomyelitis, Acute Disseminated	CNS/Brain
Encephalomyelitis, Venezuelan Equine	CNS/Brain
Endocarditis	
Fetal Diseases	
Glycogen Storage Disease	
Glycogen Storage Disease Type IV	
Goiter	
Haemophilus Infections	
Hemorrhagic Fevers, Viral	
Hepatic Encephalopathy	CNS/Brain
Hyperinsulinism	
Hyperparathyroidism	
Impetigo	Skin
